gene,condition,neighbor,neighbor_condition,similarity,rank
IL12RB2,Stim8hr,PDSS2,Stim8hr,0.3015,4
IL12RB2,Stim8hr,TAF11,Stim8hr,0.285,5
IL12RB2,Stim8hr,PRKAR1A,Stim8hr,0.2824,6
IL12RB2,Stim8hr,CPSF6,Stim8hr,0.281,7
IL12RB2,Stim8hr,UBR5,Stim8hr,0.2749,8
MORC2,Stim8hr,BHLHE40,Stim8hr,0.54,1
MORC2,Stim8hr,ARFGEF2,Stim8hr,0.5024,2
MORC2,Stim8hr,CRTC3,Stim8hr,0.4742,3
MORC2,Stim8hr,DDX19B,Stim8hr,0.4399,4
MORC2,Stim8hr,ITPR1,Stim48hr,0.437,5
MORC2,Stim8hr,ELAVL1,Stim8hr,0.4292,6
MORC2,Stim8hr,EGR2,Stim8hr,0.4241,7
MORC2,Stim8hr,ZNF649,Stim48hr,0.4217,8
KHDRBS1,Stim8hr,PDSS2,Stim8hr,0.4537,1
KHDRBS1,Stim8hr,CFAP298,Stim8hr,0.4482,2
KHDRBS1,Stim8hr,COX6C,Stim8hr,0.4479,3
KHDRBS1,Stim8hr,ATF4,Stim8hr,0.4435,4
KHDRBS1,Stim8hr,TXNL4B,Stim8hr,0.4417,5
KHDRBS1,Stim8hr,PPIH,Stim8hr,0.4416,6
KHDRBS1,Stim8hr,STARD3,Stim8hr,0.436,7
KHDRBS1,Stim8hr,CPSF6,Stim8hr,0.402,8
CCDC117,Rest,ARFGEF2,Stim8hr,0.4539,1
CCDC117,Rest,HAVCR2,Rest,0.4523,2
CCDC117,Rest,SMIM3,Rest,0.4393,3
CCDC117,Rest,MTR,Stim8hr,0.4267,4
CCDC117,Rest,PIK3C2A,Stim48hr,0.421,5
CCDC117,Rest,CRTC3,Stim8hr,0.4164,6
CCDC117,Rest,TMEM183A,Stim48hr,0.4113,7
CCDC117,Rest,SMAD2,Stim8hr,0.4081,8
CRTC3,Stim8hr,ARFGEF2,Stim8hr,0.6378,1
CRTC3,Stim8hr,ITPR1,Stim48hr,0.593,2
CRTC3,Stim8hr,ARRDC1,Rest,0.5882,3
CRTC3,Stim8hr,CEP250,Stim8hr,0.5674,4
CRTC3,Stim8hr,ZNF649,Stim48hr,0.5667,5
CRTC3,Stim8hr,BHLHE40,Stim8hr,0.5612,6
CRTC3,Stim8hr,PIK3C2A,Stim48hr,0.5472,7
CRTC3,Stim8hr,TAOK2,Rest,0.5428,8
IL16,Rest,PIK3C2A,Stim48hr,0.403,1
IL16,Rest,MTR,Stim8hr,0.3923,2
IL16,Rest,ARFGEF2,Stim8hr,0.3877,3
IL16,Rest,CEP250,Stim8hr,0.3849,4
IL16,Rest,CRTC3,Stim8hr,0.3812,5
IL16,Rest,TMEM183A,Stim48hr,0.3807,6
IL16,Rest,SCLY,Rest,0.3764,7
IL16,Rest,DUSP22,Stim48hr,0.3745,8
LEPROTL1,Stim8hr,ARFGEF2,Stim8hr,0.4899,1
LEPROTL1,Stim8hr,STARD3,Stim8hr,0.4775,2
LEPROTL1,Stim8hr,CFAP298,Stim8hr,0.4212,3
LEPROTL1,Stim8hr,ARRDC1,Rest,0.4204,4
LEPROTL1,Stim8hr,DDX19B,Stim8hr,0.4134,5
LEPROTL1,Stim8hr,PIK3C2A,Stim48hr,0.412,6
LEPROTL1,Stim8hr,OSBPL2,Stim48hr,0.4015,7
LEPROTL1,Stim8hr,SEC31A,Stim48hr,0.3973,8
DYRK1A,Stim8hr,ARFGEF2,Stim8hr,0.5237,1
DYRK1A,Stim8hr,STARD3,Stim8hr,0.5006,2
DYRK1A,Stim8hr,ARRDC1,Rest,0.4976,3
DYRK1A,Stim8hr,ITPR1,Stim48hr,0.4884,4
DYRK1A,Stim8hr,ZNF649,Stim48hr,0.4657,5
DYRK1A,Stim8hr,PIK3C2A,Stim48hr,0.4613,6
DYRK1A,Stim8hr,CRTC3,Stim8hr,0.4604,7
DYRK1A,Stim8hr,BHLHE40,Stim8hr,0.4433,8
MTR,Stim8hr,ARRDC1,Rest,0.5306,1
MTR,Stim8hr,ARFGEF2,Stim8hr,0.5285,2
MTR,Stim8hr,PIK3C2A,Stim48hr,0.5004,3
MTR,Stim8hr,DUSP22,Stim48hr,0.4987,4
MTR,Stim8hr,CEP250,Stim8hr,0.4913,5
MTR,Stim8hr,ITPR1,Stim48hr,0.4807,6
MTR,Stim8hr,SOCS2,Stim48hr,0.4734,7
MTR,Stim8hr,CRTC3,Stim8hr,0.4642,8
MBOAT7,Stim48hr,ARFGEF2,Stim8hr,0.3941,1
MBOAT7,Stim48hr,CRTC3,Stim8hr,0.3656,2
MBOAT7,Stim48hr,DUSP22,Stim48hr,0.36,3
MBOAT7,Stim48hr,MTR,Stim8hr,0.351,4
MBOAT7,Stim48hr,SMIM3,Rest,0.35,5
MBOAT7,Stim48hr,ARRDC1,Rest,0.3473,6
MBOAT7,Stim48hr,SC5D,Stim8hr,0.3465,7
MBOAT7,Stim48hr,HNRNPUL2,Stim48hr,0.3451,8
HAVCR2,Rest,ARFGEF2,Stim8hr,0.5234,1
HAVCR2,Rest,SMIM3,Rest,0.4958,2
HAVCR2,Rest,CRTC3,Stim8hr,0.4862,3
HAVCR2,Rest,PIK3C2A,Stim48hr,0.485,4
HAVCR2,Rest,CEP250,Stim8hr,0.4758,5
HAVCR2,Rest,ITPR1,Stim48hr,0.4638,6
HAVCR2,Rest,BHLHE40,Stim8hr,0.4558,7
HAVCR2,Rest,DUSP22,Stim48hr,0.4535,8
DUSP22,Stim48hr,ITPR1,Stim48hr,0.6856,1
DUSP22,Stim48hr,SOCS2,Stim48hr,0.6426,2
DUSP22,Stim48hr,ARRDC1,Rest,0.636,3
DUSP22,Stim48hr,ZNF649,Stim48hr,0.632,4
DUSP22,Stim48hr,TM2D1,Stim48hr,0.6145,5
DUSP22,Stim48hr,ARFGEF2,Stim8hr,0.6087,6
DUSP22,Stim48hr,INSR,Rest,0.6006,7
DUSP22,Stim48hr,TAOK2,Rest,0.5966,8
EFCAB14,Rest,ARFGEF2,Stim8hr,0.4966,1
EFCAB14,Rest,ARRDC1,Rest,0.4858,2
EFCAB14,Rest,ZNF649,Stim48hr,0.47,3
EFCAB14,Rest,ITPR1,Stim48hr,0.4603,4
EFCAB14,Rest,PIK3C2A,Stim48hr,0.4544,5
EFCAB14,Rest,HAVCR2,Rest,0.4502,6
EFCAB14,Rest,CEP250,Stim8hr,0.4434,7
EFCAB14,Rest,CRTC3,Stim8hr,0.4414,8
HROB,Stim8hr,BHLHE40,Stim8hr,0.4915,1
HROB,Stim8hr,STARD3,Stim8hr,0.4682,2
HROB,Stim8hr,PIK3C2A,Stim48hr,0.4555,3
HROB,Stim8hr,ARFGEF2,Stim8hr,0.4546,4
HROB,Stim8hr,ARRDC1,Rest,0.4494,5
HROB,Stim8hr,PDCL,Stim48hr,0.4485,6
HROB,Stim8hr,MAGI3,Stim48hr,0.4433,7
HROB,Stim8hr,ITPR1,Stim48hr,0.4301,8
KPTN,Stim8hr,ARFGEF2,Stim8hr,0.4182,1
KPTN,Stim8hr,DDX19B,Stim8hr,0.392,2
KPTN,Stim8hr,MORC2,Stim8hr,0.367,3
KPTN,Stim8hr,EGR2,Stim8hr,0.3429,4
KPTN,Stim8hr,BHLHE40,Stim8hr,0.3391,5
KPTN,Stim8hr,NIPSNAP3A,Stim8hr,0.3369,6
KPTN,Stim8hr,CRTC3,Stim8hr,0.3365,7
KPTN,Stim8hr,STARD3,Stim8hr,0.314,8
SMAD2,Stim8hr,ARFGEF2,Stim8hr,0.5635,1
SMAD2,Stim8hr,ARRDC1,Rest,0.5554,2
SMAD2,Stim8hr,ZNF649,Stim48hr,0.5227,3
SMAD2,Stim8hr,CEP250,Stim8hr,0.5061,4
SMAD2,Stim8hr,ITPR1,Stim48hr,0.506,5
SMAD2,Stim8hr,PIK3C2A,Stim48hr,0.5006,6
SMAD2,Stim8hr,CRTC3,Stim8hr,0.4972,7
SMAD2,Stim8hr,TAOK2,Rest,0.4919,8
LRP8,Stim8hr,ARFGEF2,Stim8hr,0.3784,1
LRP8,Stim8hr,CEP250,Stim8hr,0.3746,2
LRP8,Stim8hr,SEC31A,Stim48hr,0.3652,3
LRP8,Stim8hr,PIK3C2A,Stim48hr,0.3638,4
LRP8,Stim8hr,DLG4,Rest,0.3632,5
LRP8,Stim8hr,CFAP298,Stim8hr,0.3594,6
LRP8,Stim8hr,UBXN1,Rest,0.3517,7
LRP8,Stim8hr,OSBPL2,Stim48hr,0.3505,8
STARD3,Stim8hr,ARFGEF2,Stim8hr,0.6075,1
STARD3,Stim8hr,ARRDC1,Rest,0.5449,2
STARD3,Stim8hr,CEP250,Stim8hr,0.5279,3
STARD3,Stim8hr,PIK3C2A,Stim48hr,0.5237,4
STARD3,Stim8hr,ITPR1,Stim48hr,0.5113,5
STARD3,Stim8hr,BHLHE40,Stim8hr,0.5112,6
STARD3,Stim8hr,PPIH,Stim8hr,0.504,7
STARD3,Stim8hr,DYRK1A,Stim8hr,0.5006,8
PDCD6,Stim8hr,ARFGEF2,Stim8hr,0.4362,1
PDCD6,Stim8hr,STARD3,Stim8hr,0.4224,2
PDCD6,Stim8hr,DYRK1A,Stim8hr,0.4055,3
PDCD6,Stim8hr,PIK3C2A,Stim48hr,0.3848,4
PDCD6,Stim8hr,MTR,Stim8hr,0.371,5
PDCD6,Stim8hr,TBKBP1,Stim48hr,0.3634,6
PDCD6,Stim8hr,ARRDC1,Rest,0.3582,7
PDCD6,Stim8hr,HAVCR2,Rest,0.3579,8
TMEM183A,Stim48hr,ITPR1,Stim48hr,0.5475,1
TMEM183A,Stim48hr,ARFGEF2,Stim8hr,0.5356,2
TMEM183A,Stim48hr,SOCS2,Stim48hr,0.5276,3
TMEM183A,Stim48hr,ARRDC1,Rest,0.5197,4
TMEM183A,Stim48hr,CEP250,Stim8hr,0.5175,5
TMEM183A,Stim48hr,DUSP22,Stim48hr,0.5127,6
TMEM183A,Stim48hr,PIK3C2A,Stim48hr,0.4921,7
TMEM183A,Stim48hr,TP53,Rest,0.4868,8
DDX19B,Stim8hr,ARFGEF2,Stim8hr,0.5571,1
DDX19B,Stim8hr,CRTC3,Stim8hr,0.5182,2
DDX19B,Stim8hr,STARD3,Stim8hr,0.4589,3
DDX19B,Stim8hr,ITPR1,Stim48hr,0.454,4
DDX19B,Stim8hr,DUSP22,Stim48hr,0.4455,5
DDX19B,Stim8hr,MORC2,Stim8hr,0.4399,6
DDX19B,Stim8hr,TBKBP1,Stim48hr,0.4241,7
DDX19B,Stim8hr,PIK3C2A,Stim48hr,0.4233,8
NEU1,Stim48hr,CCDC117,Rest,0.314,1
NEU1,Stim48hr,HAVCR2,Rest,0.3121,2
NEU1,Stim48hr,MTR,Stim8hr,0.3116,3
NEU1,Stim48hr,SMIM3,Rest,0.3073,4
NEU1,Stim48hr,CRTC3,Stim8hr,0.2982,5
NEU1,Stim48hr,ARFGEF2,Stim8hr,0.295,6
NEU1,Stim48hr,MBOAT7,Stim48hr,0.2847,7
NEU1,Stim48hr,NCOR1,Stim48hr,0.2801,8
RILPL2,Stim48hr,DUSP22,Stim48hr,0.4039,1
RILPL2,Stim48hr,ARFGEF2,Stim8hr,0.4007,2
RILPL2,Stim48hr,PIK3C2A,Stim48hr,0.3912,3
RILPL2,Stim48hr,SOCS2,Stim48hr,0.3893,4
RILPL2,Stim48hr,HAVCR2,Rest,0.3799,5
RILPL2,Stim48hr,SMAD2,Stim8hr,0.3739,6
RILPL2,Stim48hr,MTR,Stim8hr,0.3716,7
RILPL2,Stim48hr,SCLY,Rest,0.3694,8
SC5D,Stim8hr,ARFGEF2,Stim8hr,0.5423,1
SC5D,Stim8hr,CRTC3,Stim8hr,0.5307,2
SC5D,Stim8hr,ITPR1,Stim48hr,0.5206,3
SC5D,Stim8hr,DUSP22,Stim48hr,0.4987,4
SC5D,Stim8hr,CEP250,Stim8hr,0.4939,5
SC5D,Stim8hr,TM2D1,Stim48hr,0.4723,6
SC5D,Stim8hr,TP53,Rest,0.4683,7
SC5D,Stim8hr,SMIM3,Rest,0.4596,8
LSP1,Stim8hr,STARD3,Stim8hr,0.4053,1
LSP1,Stim8hr,ARFGEF2,Stim8hr,0.3941,2
LSP1,Stim8hr,PIK3C2A,Stim48hr,0.3473,3
LSP1,Stim8hr,ARRDC1,Rest,0.3435,4
LSP1,Stim8hr,TBKBP1,Stim48hr,0.3353,5
LSP1,Stim8hr,PPIH,Stim8hr,0.3351,6
LSP1,Stim8hr,ITPR1,Stim48hr,0.332,7
LSP1,Stim8hr,DYRK1A,Stim8hr,0.3315,8
PIK3C2A,Stim48hr,ITPR1,Stim48hr,0.6244,1
PIK3C2A,Stim48hr,ARRDC1,Rest,0.6182,2
PIK3C2A,Stim48hr,ZNF649,Stim48hr,0.6178,3
PIK3C2A,Stim48hr,ARFGEF2,Stim8hr,0.6032,4
PIK3C2A,Stim48hr,CEP250,Stim8hr,0.5918,5
PIK3C2A,Stim48hr,TAOK2,Rest,0.5877,6
PIK3C2A,Stim48hr,INSR,Rest,0.5826,7
PIK3C2A,Stim48hr,PPM1L,Rest,0.5786,8
CEP250,Stim8hr,ARRDC1,Rest,0.6684,1
CEP250,Stim8hr,ZNF649,Stim48hr,0.6671,2
CEP250,Stim8hr,ITPR1,Stim48hr,0.6626,3
CEP250,Stim8hr,INSR,Rest,0.6526,4
CEP250,Stim8hr,TAOK2,Rest,0.6494,5
CEP250,Stim8hr,DLG4,Rest,0.6474,6
CEP250,Stim8hr,DYNC2H1,Rest,0.6441,7
CEP250,Stim8hr,PPM1L,Rest,0.6404,8
ARFGEF2,Stim8hr,ITPR1,Stim48hr,0.6641,1
ARFGEF2,Stim8hr,ARRDC1,Rest,0.6468,2
ARFGEF2,Stim8hr,CRTC3,Stim8hr,0.6378,3
ARFGEF2,Stim8hr,CEP250,Stim8hr,0.6252,4
ARFGEF2,Stim8hr,DUSP22,Stim48hr,0.6087,5
ARFGEF2,Stim8hr,STARD3,Stim8hr,0.6075,6
ARFGEF2,Stim8hr,PIK3C2A,Stim48hr,0.6032,7
ARFGEF2,Stim8hr,ZNF649,Stim48hr,0.6024,8
ITPR1,Stim48hr,ZNF649,Stim48hr,0.7639,1
ITPR1,Stim48hr,TM2D1,Stim48hr,0.7019,2
ITPR1,Stim48hr,ARRDC1,Rest,0.6974,3
ITPR1,Stim48hr,DUSP22,Stim48hr,0.6856,4
ITPR1,Stim48hr,TAOK2,Rest,0.6843,5
ITPR1,Stim48hr,INSR,Rest,0.6661,6
ITPR1,Stim48hr,ARFGEF2,Stim8hr,0.6641,7
ITPR1,Stim48hr,PPM1L,Rest,0.6627,8
MOSPD1,Rest,MED15,Rest,0.351,1
MOSPD1,Rest,EWSR1,Rest,0.3378,2
MOSPD1,Rest,PKN3,Stim48hr,0.3171,3
MOSPD1,Rest,CLCC1,Stim48hr,0.2936,4
MOSPD1,Rest,EHMT2,Rest,0.2884,5
MOSPD1,Rest,MRC2,Stim48hr,0.2878,6
MOSPD1,Rest,LEO1,Rest,0.2554,7
MOSPD1,Rest,LAMTOR2,Stim48hr,0.2454,8
BPNT1,Rest,PPM1L,Rest,0.787,1
BPNT1,Rest,DLG4,Rest,0.7834,2
BPNT1,Rest,DYNC2H1,Rest,0.7823,3
BPNT1,Rest,ZMYM2,Rest,0.7761,4
BPNT1,Rest,GABARAPL1,Rest,0.7736,5
BPNT1,Rest,UBXN1,Rest,0.7656,6
BPNT1,Rest,INSR,Rest,0.7366,7
BPNT1,Rest,TAOK2,Rest,0.7363,8
TMBIM4,Stim8hr,LCK,Stim8hr,0.2126,1
TMBIM4,Stim8hr,SMIM3,Rest,0.2117,2
TMBIM4,Stim8hr,SC5D,Stim8hr,0.2084,3
TMBIM4,Stim8hr,BRPF1,Stim8hr,0.2002,4
TMBIM4,Stim8hr,ARFGEF2,Stim8hr,0.1939,5
TMBIM4,Stim8hr,SCLY,Rest,0.1936,6
TMBIM4,Stim8hr,CRTC3,Stim8hr,0.1911,7
TMBIM4,Stim8hr,FZD6,Stim8hr,0.1857,8
PKN3,Stim48hr,CLCC1,Stim48hr,0.4464,1
PKN3,Stim48hr,SIK3,Stim48hr,0.3988,2
PKN3,Stim48hr,RRAGA,Stim48hr,0.3205,3
PKN3,Stim48hr,MOSPD1,Rest,0.3171,4
PKN3,Stim48hr,LAT,Stim8hr,0.3154,5
PKN3,Stim48hr,CD3E,Stim8hr,0.314,6
PKN3,Stim48hr,PLCG1,Stim8hr,0.3062,7
PKN3,Stim48hr,FZD6,Stim8hr,0.3026,8
CEP55,Stim48hr,RHOA,Stim48hr,0.2416,1
CEP55,Stim48hr,ACTR2,Stim48hr,0.2278,2
CEP55,Stim48hr,ERCC4,Stim48hr,0.2201,3
CEP55,Stim48hr,RRAGA,Stim48hr,0.1771,4
CEP55,Stim48hr,CLCC1,Stim48hr,0.1742,5
CEP55,Stim48hr,CD53,Stim8hr,0.1586,6
CEP55,Stim48hr,PTPA,Stim48hr,0.1559,7
CEP55,Stim48hr,MRC2,Stim48hr,0.1518,8
SEC31A,Stim48hr,ARFGEF2,Stim8hr,0.5487,1
SEC31A,Stim48hr,ITPR1,Stim48hr,0.5469,2
SEC31A,Stim48hr,DUSP22,Stim48hr,0.5428,3
SEC31A,Stim48hr,PIK3C2A,Stim48hr,0.5233,4
SEC31A,Stim48hr,ARRDC1,Rest,0.5207,5
SEC31A,Stim48hr,CEP250,Stim8hr,0.5137,6
SEC31A,Stim48hr,TM2D1,Stim48hr,0.503,7
SEC31A,Stim48hr,BPNT1,Rest,0.4967,8
APAF1,Rest,ARFGEF2,Stim8hr,0.3204,1
APAF1,Rest,PDCL,Stim48hr,0.3177,2
APAF1,Rest,YTHDF2,Stim48hr,0.2945,3
APAF1,Rest,STARD3,Stim8hr,0.2929,4
APAF1,Rest,ELP1,Stim8hr,0.2923,5
APAF1,Rest,ITPR1,Stim48hr,0.2911,6
APAF1,Rest,HROB,Stim8hr,0.2892,7
APAF1,Rest,DDX19B,Stim8hr,0.289,8
LARP4,Stim48hr,ARFGEF2,Stim8hr,0.3452,1
LARP4,Stim48hr,DDX19B,Stim8hr,0.3237,2
LARP4,Stim48hr,STARD3,Stim8hr,0.3148,3
LARP4,Stim48hr,CRTC3,Stim8hr,0.3106,4
LARP4,Stim48hr,RILPL2,Stim48hr,0.3082,5
LARP4,Stim48hr,CEP250,Stim8hr,0.3036,6
LARP4,Stim48hr,PIK3C2A,Stim48hr,0.2967,7
LARP4,Stim48hr,TMEM183A,Stim48hr,0.2967,8
NIPSNAP3A,Stim8hr,CD53,Stim8hr,0.3903,1
NIPSNAP3A,Stim8hr,STARD3,Stim8hr,0.3796,2
NIPSNAP3A,Stim8hr,PDSS2,Stim8hr,0.3786,3
NIPSNAP3A,Stim8hr,ARFGEF2,Stim8hr,0.3707,4
NIPSNAP3A,Stim8hr,LEPROTL1,Stim8hr,0.3678,5
NIPSNAP3A,Stim8hr,PPIH,Stim8hr,0.363,6
NIPSNAP3A,Stim8hr,HROB,Stim8hr,0.3563,7
NIPSNAP3A,Stim8hr,KPTN,Stim8hr,0.3369,8
TAOK2,Rest,PPM1L,Rest,0.7452,1
TAOK2,Rest,BPNT1,Rest,0.7363,2
TAOK2,Rest,DYNC2H1,Rest,0.7277,3
TAOK2,Rest,ARRDC1,Rest,0.7201,4
TAOK2,Rest,UBXN1,Rest,0.7175,5
TAOK2,Rest,INSR,Rest,0.7095,6
TAOK2,Rest,ZMYM2,Rest,0.7064,7
TAOK2,Rest,ZNF649,Stim48hr,0.6986,8
SOCS2,Stim48hr,DUSP22,Stim48hr,0.6426,1
SOCS2,Stim48hr,ITPR1,Stim48hr,0.625,2
SOCS2,Stim48hr,ZNF649,Stim48hr,0.5949,3
SOCS2,Stim48hr,TAOK2,Rest,0.5912,4
SOCS2,Stim48hr,ARRDC1,Rest,0.5896,5
SOCS2,Stim48hr,TM2D1,Stim48hr,0.5724,6
SOCS2,Stim48hr,CEP250,Stim8hr,0.565,7
SOCS2,Stim48hr,ARFGEF2,Stim8hr,0.5638,8
RETREG2,Stim8hr,MTR,Stim8hr,0.3078,1
RETREG2,Stim8hr,CCDC117,Rest,0.3005,2
RETREG2,Stim8hr,HAVCR2,Rest,0.289,3
RETREG2,Stim8hr,STARD3,Stim8hr,0.2844,4
RETREG2,Stim8hr,PIK3C2A,Stim48hr,0.2769,5
RETREG2,Stim8hr,IL16,Rest,0.2711,6
RETREG2,Stim8hr,TMEM183A,Stim48hr,0.2693,7
RETREG2,Stim8hr,SOCS2,Stim48hr,0.2651,8
HNRNPUL2,Stim48hr,SOCS2,Stim48hr,0.5597,1
HNRNPUL2,Stim48hr,ITPR1,Stim48hr,0.5545,2
HNRNPUL2,Stim48hr,DUSP22,Stim48hr,0.534,3
HNRNPUL2,Stim48hr,ZNF649,Stim48hr,0.531,4
HNRNPUL2,Stim48hr,CEP250,Stim8hr,0.5281,5
HNRNPUL2,Stim48hr,ARRDC1,Rest,0.5257,6
HNRNPUL2,Stim48hr,ARFGEF2,Stim8hr,0.5044,7
HNRNPUL2,Stim48hr,INSR,Rest,0.4988,8
CYB5B,Stim48hr,PPIH,Stim8hr,0.2753,1
CYB5B,Stim48hr,PDCL,Stim48hr,0.2683,2
CYB5B,Stim48hr,YTHDF2,Stim48hr,0.2351,3
CYB5B,Stim48hr,HROB,Stim8hr,0.224,4
CYB5B,Stim48hr,DOP1B,Stim48hr,0.2233,5
CYB5B,Stim48hr,APAF1,Rest,0.2233,6
CYB5B,Stim48hr,ARFGEF2,Stim8hr,0.2216,7
CYB5B,Stim48hr,HAVCR2,Rest,0.2195,8
HDGF,Stim48hr,ARFGEF2,Stim8hr,0.5101,1
HDGF,Stim48hr,ITPR1,Stim48hr,0.4791,2
HDGF,Stim48hr,CRTC3,Stim8hr,0.4762,3
HDGF,Stim48hr,BHLHE40,Stim8hr,0.4622,4
HDGF,Stim48hr,ZNF649,Stim48hr,0.4572,5
HDGF,Stim48hr,PIK3C2A,Stim48hr,0.436,6
HDGF,Stim48hr,PDCL,Stim48hr,0.4325,7
HDGF,Stim48hr,DUSP22,Stim48hr,0.4259,8
OSBPL2,Stim48hr,ITPR1,Stim48hr,0.6031,1
OSBPL2,Stim48hr,ARRDC1,Rest,0.5922,2
OSBPL2,Stim48hr,ZNF649,Stim48hr,0.5896,3
OSBPL2,Stim48hr,ARFGEF2,Stim8hr,0.5714,4
OSBPL2,Stim48hr,CEP250,Stim8hr,0.5671,5
OSBPL2,Stim48hr,TAOK2,Rest,0.5661,6
OSBPL2,Stim48hr,BPNT1,Rest,0.5655,7
OSBPL2,Stim48hr,PIK3C2A,Stim48hr,0.5638,8
ZNF891,Stim8hr,DLG4,Rest,0.4724,1
ZNF891,Stim8hr,CEP250,Stim8hr,0.4253,2
ZNF891,Stim8hr,ARRDC1,Rest,0.4231,3
ZNF891,Stim8hr,DYNC2H1,Rest,0.4216,4
ZNF891,Stim8hr,GABARAPL1,Rest,0.4114,5
ZNF891,Stim8hr,INSR,Rest,0.4087,6
ZNF891,Stim8hr,SMIM3,Rest,0.4086,7
ZNF891,Stim8hr,TP53,Rest,0.404,8
FKBP15,Stim8hr,CEP250,Stim8hr,0.5362,1
FKBP15,Stim8hr,ITPR1,Stim48hr,0.5302,2
FKBP15,Stim8hr,DUSP22,Stim48hr,0.5185,3
FKBP15,Stim8hr,ARRDC1,Rest,0.5142,4
FKBP15,Stim8hr,DYNC2H1,Rest,0.5024,5
FKBP15,Stim8hr,DLG4,Rest,0.4914,6
FKBP15,Stim8hr,GABARAPL1,Rest,0.4887,7
FKBP15,Stim8hr,ARFGEF2,Stim8hr,0.4884,8
MAGI3,Stim48hr,ZNF649,Stim48hr,0.6517,1
MAGI3,Stim48hr,ITPR1,Stim48hr,0.6181,2
MAGI3,Stim48hr,TM2D1,Stim48hr,0.6109,3
MAGI3,Stim48hr,DOP1B,Stim48hr,0.5935,4
MAGI3,Stim48hr,CEP250,Stim8hr,0.5803,5
MAGI3,Stim48hr,ARRDC1,Rest,0.5745,6
MAGI3,Stim48hr,INSR,Rest,0.5715,7
MAGI3,Stim48hr,TAOK2,Rest,0.5672,8
TBKBP1,Stim48hr,ARFGEF2,Stim8hr,0.5744,1
TBKBP1,Stim48hr,ARRDC1,Rest,0.5322,2
TBKBP1,Stim48hr,ITPR1,Stim48hr,0.5145,3
TBKBP1,Stim48hr,DUSP22,Stim48hr,0.5139,4
TBKBP1,Stim48hr,PIK3C2A,Stim48hr,0.51,5
TBKBP1,Stim48hr,CRTC3,Stim8hr,0.5056,6
TBKBP1,Stim48hr,STARD3,Stim8hr,0.4959,7
TBKBP1,Stim48hr,TAOK2,Rest,0.4945,8
ARRDC1,Rest,ZNF649,Stim48hr,0.7419,1
ARRDC1,Rest,INSR,Rest,0.7394,2
ARRDC1,Rest,UBXN1,Rest,0.7268,3
ARRDC1,Rest,TAOK2,Rest,0.7201,4
ARRDC1,Rest,ZMYM2,Rest,0.7194,5
ARRDC1,Rest,DYNC2H1,Rest,0.7181,6
ARRDC1,Rest,PPM1L,Rest,0.7038,7
ARRDC1,Rest,GABARAPL1,Rest,0.699,8
SCLY,Rest,ARFGEF2,Stim8hr,0.4601,1
SCLY,Rest,PIK3C2A,Stim48hr,0.4573,2
SCLY,Rest,DUSP22,Stim48hr,0.456,3
SCLY,Rest,CEP250,Stim8hr,0.4538,4
SCLY,Rest,CRTC3,Stim8hr,0.4412,5
SCLY,Rest,INSR,Rest,0.4308,6
SCLY,Rest,ARRDC1,Rest,0.4248,7
SCLY,Rest,SC5D,Stim8hr,0.4235,8
CD53,Stim8hr,NIPSNAP3A,Stim8hr,0.3903,1
CD53,Stim8hr,PDSS2,Stim8hr,0.3768,2
CD53,Stim8hr,STARD3,Stim8hr,0.3768,3
CD53,Stim8hr,ATF4,Stim8hr,0.3636,4
CD53,Stim8hr,ARFGEF2,Stim8hr,0.3607,5
CD53,Stim8hr,DDX19B,Stim8hr,0.337,6
CD53,Stim8hr,KHDRBS1,Stim8hr,0.3171,7
CD53,Stim8hr,TXNL4B,Stim8hr,0.3115,8
SMIM3,Rest,TP53,Rest,0.5532,1
SMIM3,Rest,ARRDC1,Rest,0.5418,2
SMIM3,Rest,DUSP22,Stim48hr,0.5288,3
SMIM3,Rest,ARFGEF2,Stim8hr,0.5145,4
SMIM3,Rest,CEP250,Stim8hr,0.508,5
SMIM3,Rest,ITPR1,Stim48hr,0.5067,6
SMIM3,Rest,ZNF649,Stim48hr,0.5051,7
SMIM3,Rest,HAVCR2,Rest,0.4958,8
